門市,地址,營業時間,電話
西屯逢甲,臺中市西屯區西屯路二段282之五號,09:00~22:00,04-27066106
台中大慶,臺中市南區大慶街二段27號,09:00~22:00,04-22626202
潭子勝利,臺中市潭子區勝利路207號,09:00~22:00,04-25336155
太平永成,臺中市太平區永成里太平路231號1樓,09:00~22:00,04-22796656
台中復興,臺中市南區復興路三段347號,09:00~22:00,04-22256121
大里大明,臺中市大里區大明路450號,09:00~22:00,04-24066691
台中精誠,臺中市西區精誠路195號,09:00~22:00,04-23256226
愛買復興,臺中市南區復興路一段359號二樓,10:00~22:00,04-22656022
沙鹿洛泉,臺中市沙鹿區中山路233號,09:00~22:00,04-26626122
台中忠誠,臺中市西區美村路一段68號,09:00~22:00,04-23236007
南屯三厝,臺中市南屯區向上路二段432之2號,09:00~22:00,04-23861112
西屯何福,臺中市西屯區西屯路二段16-5號,09:00~22:00,04-23166122
太平永新,臺中市太平區太平路537號,09:00~22:00,04-22796550
台中忠明,臺中市北區忠明路499號1樓,09:00~22:00,04-22065669
沙鹿中山,臺中市沙鹿區中山路461&461-1號,09:00~22:00,04-26630677
烏日中山,臺中市烏日區中山路一段440號,09:00~22:00,04-23385456
霧峰中正二店,臺中市霧峰區中正路1162號,09:00~22:00,04-23391346
大雅民生,臺中市大雅區民生路一段221號,09:00~22:00,04-25662229
北屯興安,臺中市北屯區興安路二段52號,09:00~22:00,04-22460369
烏日溪南,臺中市烏日區溪南路一段565號,08:00~21:00,04-23353666
大里益民,臺中市大里區益民路二段335號,09:00~22:00,04-24811551
西屯何安,臺中市西屯區西屯路二段101號B棟1樓,09:00~22:00,04-23161110
大里塗城,臺中市大里區中興路一段189號,09:00~22:00,04-24967234
