門市,地址,營業時間,電話
台南崇學,臺南市東區崇學路146號,09:00~22:00,06-2906133
台南公園,臺南市北區公園路902號,08:30~21:30,06-2826006
安南海佃,臺南市安南區海佃路三段258號,08:30~21:30,06-2556223
六甲中正,臺南市六甲區中正路537號,08:30~22:00,06-6987122
台南文賢,臺南市北區文賢路760號,09:00~22:00,06-2586220
台南東環,臺南市東區大同路一段49號,09:00~22:00,06-2156112
臺南崇道,臺南市東區崇道路63號,09:00~22:00,06-2680456
關廟中央,臺南市關廟區中央路263號,08:00~21:00,06-5965889
新化中正,臺南市新化區中正路531號,08:30~21:30,06-5901331
台南東寧,臺南市東區東寧路436號,09:00~22:00,06-2360006
鹽水朝琴,臺南市鹽水區朝琴路126-3號,08:30~21:30,06-6520432
白河中山,臺南市白河區中山路153號,08:30~21:30,06-6830006
台南自由,臺南市東區自由路三段382號,09:00~22:00,06-2890800
安南北安,臺南市安南區北安路三段158號,09:00~22:00,06-2553633
台南大同,臺南市東區大同路二段229號,09:00~22:00,06-2158700
善化民權,臺南市善化區民權路56號,09:00~22:00,06-5830550
新營民權,臺南市新營區民權路74號,09:00~22:00,06-6328300
仁德中正,臺南市仁德區中正路二段1152號,08:30~21:30,06-2797466
永康大灣,臺南市永康區大灣路555號,08:30~22:00,06-2728822
學甲中正,臺南市學甲區中正路135號,08:30~21:30,06-7820001
安南安和,臺南市安南區安和路4段557號,09:00~22:00,06-3563370
新市中正,臺南市新市區中正路49號,09:30~22:30,06-5892552
佳里延平,臺南市佳里區延平路237號,09:00~22:00,06-7231323
台南金華,臺南市南區金華路2段129號,09:30~22:30,06-2641238
歸仁中山,臺南市歸仁區中山路三段12號,08:30~22:00,06-2300301
永康大橋,臺南市永康區中華路736號,09:00~22:00,06-3022322
台南中華,臺南市東區中華東路三段181號,09:30~22:30,06-2880800
永康中山,臺南市永康區中山南路816號,09:00~22:00,06-2020201
麻豆中山,臺南市麻豆區中山路48號,09:00-22:00,06-5716556
頭份仁愛,苗栗縣頭份市仁愛路110號,09:00~22:00,037-666652
通霄中山,苗栗縣通霄鎮通西里23鄰中山路131號,08:30~21:30,037-755155
苑裡為公,苗栗縣苑裡鎮為公路32-1號,08:00~21:00,037-851331
苗栗光復,苗栗縣苗栗市光復路55號,09:00~22:00,037-360789
後龍中山,苗栗縣後龍鎮中山路209號,09:00~22:00,037-723660
