門市,地址,營業時間,電話,
中山錦州,臺北市中山區錦州街244號,09:00~22:00,02-25026650
松山延吉,臺北市松山區延吉街44號,09:00~22:00,02-25776115
士林社子,臺北市士林區社子街4號,09:00~22:00,02-28166135
松山新東,臺北市松山區民生東路五段191號,09:00~22:00,02-27656336
大安國泰,臺北市大安區仁愛路四段300巷17弄1號,09:00~22:00,02-27086221
中正聯合,臺北市中正區延平南路210號1樓,09:00~22:00,02-23826211
大同延平,臺北市大同區延平北路三段4號,09:00~22:00,02-25986800
內湖宜家,臺北市內湖區舊宗路一段128號,週一~週五：11:30~20:30、週六~週日：10:00~22:00,02-87926653
松山健康,臺北市松山區健康路5之1號,09:00~22:00,02-27166112
內湖五分,臺北市內湖區五分街64號,09:00~22:00,02-26336122
南港東明,臺北市南港區東明街3號,09:00~22:00,02-26559663
士林劍潭,臺北市士林區劍潭路55巷22號,09:00~22:00,02-28826998
信義市政,臺北市信義區忠孝東路五段169號,09:00~22:00,02-27560050
內湖舊宗,臺北市內湖區舊宗路一段188號2樓,09:00~22:00,
中山吉林,臺北市中山區吉林路371號,09:00~22:00,02-25865990
士林士東,臺北市士林區士東路91巷3號,09:00~22:00,02-28760588
萬華桂林,臺北市萬華區桂林路1號2F,10:00-22:00,02-23880234
內湖文德,臺北市內湖區文德路102號,09:00~22:00,02-26581551
中正汀州,臺北市中正區汀州路一段189號,09:00~22:00,02-23090705
士林天母,臺北市士林區德行西路47號2F,平日：12:00-21:00,02-28330345
大同重慶,臺北市大同區重慶北路二段171號B2,平日：12:00~21:00,02-25520532
萬華西園,臺北市萬華區西園路二段292號,09:00~22:00,02-23331522
文山木柵,臺北市文山區木柵路三段110號,09:30~22:30,02-22340110
文山景美,臺北市文山區羅斯福路六段234號,09:00~22:00,02-29322951
文山興隆,臺北市文山區興隆路三段13號,09:00~22:00,02-29342226
內湖康雲,臺北市內湖區康寧路一段116號,09:00~22:00,02-27940545
松山民生,臺北市松山區民生東路五段107號,09:00~22:00,02-27562226
大同雙連,臺北市大同區民生西路128號,10:00~23:00,02-25558886
萬華萬大,臺北市萬華區萬大路248號,09:00~22:00,02-23012221
台北龍江,臺北市中山區龍江路242號,09:00~22:00,02-25035666 
